address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2590 Hampton Ave,Allison Park,PA,15101,59000,NA,2.0,1.0,3.0,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/2590-Hampton-Ave-Allison-Park-PA-15101/11561072_zpid/
3079 Henrich Farm Ln,Allison Park,PA,15101,529000,3000.0,4.0,3.0,4.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3079-Henrich-Farm-Ln-Allison-Park-PA-15101/11621466_zpid/
1807 Oakhurst Ct,Allison Park,PA,15101,458500,3108.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1807-Oakhurst-Ct-Allison-Park-PA-15101/11591086_zpid/
1930 Sample Rd,Allison Park,PA,15101,315000,NA,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1930-Sample-Rd-Allison-Park-PA-15101/11618833_zpid/
4145 Surrey Dr,Allison Park,PA,15101,235000,NA,3.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4145-Surrey-Dr-Allison-Park-PA-15101/11591889_zpid/
3006 Whispering Creek Dr,Allison Park,PA,15101,974900,4900.0,5.0,5.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3006-Whispering-Creek-Dr-Allison-Park-PA-15101/87994479_zpid/
4666 Greenwood Dr,Allison Park,PA,15101,299900,1763.0,3.0,3.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4666-Greenwood-Dr-Allison-Park-PA-15101/11258942_zpid/
Cedar Ridge Rd,Allison Park,PA,15101,NA,1896.0,4.0,2.5,18,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128925434_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Parkview Dr,Allison Park,PA,15101,NA,1594.0,3.0,2.0,18,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128926789_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2706 Sapling St,Allison Park,PA,15101,264900,NA,4.0,3.0,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2706-Sapling-St-Allison-Park-PA-15101/2094675561_zpid/
1421 Lakeside Dr,Allison Park,PA,15101,219900,1868.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1421-Lakeside-Dr-Allison-Park-PA-15101/11526908_zpid/
4172 La Tache Ct,Allison Park,PA,15101,459000,2200.0,3.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4172-La-Tache-Ct-Allison-Park-PA-15101/54908918_zpid/
X Mount Royal Blvd,Hampton,PA,15101,24900,NA,NA,NA,17,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/X-Mount-Royal-Blvd-Hampton-PA-15101/2094687450_zpid/
3884 Dolphin Dr,Allison Park,PA,15101,319900,NA,4.0,3.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3884-Dolphin-Dr-Allison-Park-PA-15101/11559699_zpid/
711 Mica Dr,Allison Park,PA,15101,309000,NA,5.0,5.0,13,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/711-Mica-Dr-Allison-Park-PA-15101/11527454_zpid/
2866 Tremonte Ln,Allison Park,PA,15101,419900,2800.0,4.0,3.0,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2866-Tremonte-Ln-Allison-Park-PA-15101/11621381_zpid/
4996 Meadow Crest Dr,Allison Park,PA,15101,329900,NA,4.0,3.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4996-Meadow-Crest-Dr-Allison-Park-PA-15101/11276977_zpid/
