address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,age in years,parking,heating,basement,attic,green_bldg, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
141 Beech Ridge Dr,Sewickley,PA,15143," $5,750,000 "," 22,000 ",5,8,2006,11,1,1,1,0,1, $261.36 ,3.7,House For Sale,Above $ 1m,cluster2,4
4769 Route 910 (Gibsonia Rd),West Deer,PA,15101," $3,500,000 ",,,,1927,90,0,1,1,1,1,,3.6,Lot/Land For Sale,Above $ 1m,cluster6,3
215 25th St # 5,Pittsburgh,PA,15222," $3,400,000 ",,3,5,1929,88,1,1,1,1,1,,1.9,Townhouse For Sale,Above $ 1m,cluster6,3
9 Trillium Ln,Pittsburgh,PA,15238," $3,395,000 ",,4,6,1959,58,1,1,1,1,1,,4.9,House For Sale,Above $ 1m,cluster6,3.8
710 Bending Oak Ln,Pittsburgh,PA,15238," $3,250,000 "," 9,158 ",5,8,1964,53,0,0,1,1,1, $354.88 ,3.2,House For Sale,Above $ 1m,cluster6,3.9
2 Deer Hollow Rd,Collier Twp,PA,15142," $2,995,000 ",,4,7,1924,93,1,1,0,1,1,,3.9,House For Sale,Above $ 1m,cluster2,3.7
2 Edgemoor Ln,Pittsburgh,PA,15238," $2,875,500 ",,7,9,2001,16,0,1,0,1,1,,3.9,House For Sale,Above $ 1m,cluster1,3.8
640 Hookstown Grade Rd,Coraopolis,PA,15108," $2,850,000 ",,0,,1999,18,0,1,1,1,1,,4.9,House For Sale,Above $ 1m,cluster6,3.5
857 Persimmon Rd,Sewickley,PA,15143," $2,795,000 ",,4,8,2013,4,0,0,0,0,1,,3.1,House For Sale,Above $ 1m,cluster3,1.8
1037 Hulton Rd,Oakmont,PA,15139," $2,720,000 "," 10,408 ",6,11,1992,25,1,1,1,0,1, $261.34 ,4.9,Foreclosed,Above $ 1m,cluster2,3.7
158 North Dr,Pittsburgh,PA,15238," $2,695,000 "," 9,000 ",8,8,1909,108,0,1,0,0,1, $299.44 ,3.4,House For Sale,Above $ 1m,cluster2,3.5
1730 Riverside St,Pittsburgh,PA,15219," $2,690,000 ",,,,1985,32,1,0,0,0,0,,4.9,Lot/Land For Sale,Above $ 1m,cluster3,1.2
714 Amberson Ave,Pittsburgh,PA,15232," $2,600,000 ",,5,6,1900,117,1,0,0,0,0,,3.5,House For Sale,Above $ 1m,cluster3,1
604 W North Ave,Pittsburgh,PA,15212," $2,500,000 ",,8,11,1927,90,0,1,1,0,0,,3.4,House For Sale,Above $ 1m,cluster3,1
24 Edgewood Rd,Pittsburgh,PA,15215," $2,500,000 "," 6,000 ",6,5,2011,6,0,1,0,0,0, $416.67 ,3.6,House For Sale,Above $ 1m,cluster3,1
311 Shalimar Ct,Monroeville,PA,15146," $2,488,000 ",,5,6,1998,19,1,0,1,0,0,,4.5,House For Sale,Above $ 1m,cluster4,2.7
