address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,parking,heating,basement,attic,green_bldg,age_in_years, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
141 Beech Ridge Dr,Sewickley,PA,15143,"$5,750,000.00 ","22,000",5,8,2006,1,1,1,0,1,11,$261.36 ,3.7,House,Above $ 1m,cluster2,Four
4769 Route 910 (Gibsonia Rd),West Deer,PA,15101,"$3,500,000.00 ",,,,1927,0,1,1,1,1,90,,3.6,Lot/Land,Above $ 1m,cluster6,Three
215 25Th St # 5,Pittsburgh,PA,15222,"$3,400,000.00 ",,3,,1929,1,1,1,1,1,88,,1.9,Townhouse,Above $ 1m,cluster6,Three
9 Trillium Ln,Pittsburgh,PA,15238,"$3,395,000.00 ",,4,6,1959,1,1,1,1,1,58,,4.9,House,Above $ 1m,cluster6,Three
710 Bending Oak Ln,Pittsburgh,PA,15238,"$3,250,000.00 ","9,158",5,8,1964,0,0,1,1,1,53,$354.88 ,3.2,House,Above $ 1m,cluster6,Three
2 Deer Hollow Rd,Collier Twp,PA,15142,"$2,995,000.00 ",,4,7,1924,1,1,0,1,1,93,,3.9,House,Above $ 1m,cluster2,Three
2 Edgemoor Ln,Pittsburgh,PA,15238,"$2,875,500.00 ",,7,9,2001,0,1,0,1,1,16,,3.9,House,Above $ 1m,cluster1,Three
640 Hookstown Grade Rd,Coraopolis,PA,15108,"$2,850,000.00 ",,0,,1999,0,1,1,1,1,18,,4.9,House,Above $ 1m,cluster6,Three
857 Persimmon Rd,Sewickley,PA,15143,"$2,795,000.00 ",,4,8,2013,0,0,0,0,1,4,,3.1,House,Above $ 1m,cluster3,One
1037 Hulton Rd,Oakmont,PA,15139,"$2,720,000.00 ","10,408",6,11,1992,1,1,1,0,1,25,$261.34 ,4.9,Foreclosure,Above $ 1m,cluster2,Three
158 North Dr,Pittsburgh,PA,15238,"$2,695,000.00 ","9,000",8,8,1909,0,1,0,0,1,108,$299.44 ,3.4,House,Above $ 1m,cluster2,Three
1730 Riverside St,Pittsburgh,PA,15219,"$2,690,000.00 ",,,,1985,1,0,0,0,0,32,,4.9,Lot/Land,Above $ 1m,cluster3,One
714 Amberson Ave,Pittsburgh,PA,15232,"$2,600,000.00 ",,5,6,1900,1,0,0,0,0,117,,3.5,House,Above $ 1m,cluster3,One
604 W North Ave,Pittsburgh,PA,15212,"$2,500,000.00 ",,8,11,1927,0,1,1,0,0,90,,3.4,House,Above $ 1m,cluster3,One
24 Edgewood Rd,Pittsburgh,PA,15215,"$2,500,000.00 ","6,000",6,5,2011,0,1,0,0,0,6,$416.67 ,3.6,House,Above $ 1m,cluster3,One
311 Shalimar Ct,Monroeville,PA,15146,"$2,488,000.00 ",,5,6,1998,1,0,1,0,0,19,,4.5,House,Above $ 1m,cluster4,Two
126 Parkview Dr,Sewickley,PA,15143,"$2,400,000.00 ",,6,10,1944,1,1,0,0,0,73,,3.3,House,Above $ 1m,cluster2,Four
215 25Th St # 4,Pittsburgh,PA,15222,"$2,400,000.00 ",,2,3,1999,0,1,0,0,1,18,,4.7,Townhouse,Above $ 1m,cluster2,Four
5020 Castleman St,Pittsburgh,PA,15232,"$2,399,000.00 ","6,615",7,6,1951,0,1,0,1,0,66,$362.66 ,3.7,House,Above $ 1m,cluster1,Three
Hookstown Grade Rd,Coraopolis,PA,15108,"$2,300,000.00 ",,,,1914,1,0,0,0,0,103,,3.3,Lot/Land,Above $ 1m,cluster3,One
1200 Bennington Ave,Pittsburgh,PA,15217,"$2,300,000.00 ","5,000",8,5,1930,0,0,0,1,1,87,$460.00 ,2.6,House,Above $ 1m,cluster6,Three
1540 Fox Chase Ln,Pittsburgh,PA,15241,"$2,300,000.00 ",,6,8,2013,1,0,0,1,0,4,,3.7,House,Above $ 1m,cluster4,Two
400 Shady Ave,Pittsburgh,PA,15206,"$2,250,000.00 ",,6,6,2009,0,0,0,1,0,8,,2.3,House,Above $ 1m,cluster1,Three
1 Meadowood Ct,Pittsburgh,PA,15215,"$2,250,000.00 ",,5,5,1977,0,1,0,1,1,40,,4.4,House,Above $ 1m,cluster1,Three
215 25Th St # 9,Pittsburgh,PA,15222,"$2,250,000.00 ",,3,3,2014,0,0,1,0,0,3,,4.6,Townhouse,Above $ 1m,cluster3,One
646 Mount Nebo Rd,Pittsburgh,PA,15237,"$2,225,000.00 ",,2,1,1906,0,0,1,0,1,111,,3.7,House,Above $ 1m,cluster6,Three
918 Settlers Ridge Rd,Pittsburgh,PA,15238,"$2,200,000.00 ",,5,7,1929,0,0,0,1,0,88,,3.2,House,Above $ 1m,cluster1,Three
605 5Th Ave,Coraopolis,PA,15108,"$2,183,500.00 ",,4,2,1940,0,1,1,0,0,77,,3.6,House,Above $ 1m,cluster3,One
609 5Th Ave,Coraopolis,PA,15108,"$2,183,500.00 ",,2,2,1942,1,0,1,1,0,75,,4.1,House,Above $ 1m,cluster4,Two
619 5Th Ave,Coraopolis,PA,15108,"$2,183,500.00 ",,3,1,1926,1,0,1,0,1,91,,3.3,House,Above $ 1m,cluster6,Three
616 5Th Ave,Coraopolis,PA,15108,"$2,183,500.00 ",,3,2,1944,1,0,0,1,1,73,,3.5,House,Above $ 1m,cluster6,Three
1008 Beaver Rd,Sewickley,PA,15143,"$2,150,000.00 ","8,147",5,6,1991,1,0,1,1,1,26,$263.90 ,4.4,House,Above $ 1m,cluster6,Three
620-640 Rodi Rd,Penn Hills,PA,15235,"$2,000,000.00 ","10,000",0,,1968,0,0,0,1,0,,$200.00 ,3.3,House,Above $ 1m,cluster1,Three
106 Stoney Camp Ln,Pittsburgh,PA,15238,"$1,999,000.00 ","10,500",6,10,1927,0,0,0,0,0,90,$190.38 ,1.3,House,Above $ 1m,cluster3,Two
403 Hillside Dr,Sewickley,PA,15143,"$1,995,000.00 ","8,500",7,9,1970,1,1,1,0,1,47,$234.71 ,3.4,House,Above $ 1m,cluster2,Four
210 Ridgehaven Ln,Pittsburgh,PA,15238,"$1,990,000.00 ",,,,1957,1,1,0,1,0,60,,5,Lot/Land,Above $ 1m,cluster1,Four
111 Creek Dr,Sewickley,PA,15143,"$1,975,000.00 ","5,126",5,6,1931,0,0,1,0,0,86,$385.29 ,4.3,House,Above $ 1m,cluster3,One
1040 Highmont Rd,Pittsburgh,PA,15232,"$1,975,000.00 ",,5,7,1927,0,1,1,0,1,90,,3.6,House,Above $ 1m,cluster2,Three
143 Beech Ridge Dr,Sewickley,PA,15143,"$1,950,000.00 ",,6,8,2004,0,0,1,1,0,13,,3.6,House,Above $ 1m,cluster4,Two
113 Royston Rd,Pittsburgh,PA,15238,"$1,950,000.00 ",,6,9,1909,1,1,0,0,0,108,,1.9,House,Above $ 1m,cluster2,Four
6 Cherrington Ln,Moon Township,PA,15108,"$1,900,000.00 ",,4,6,2009,0,1,1,0,1,8,,3.5,House,Above $ 1m,cluster2,Three
550 Market Street 14-B # 14-B,Downtown Pgh,PA,15222,"$1,899,900.00 ",,2,2,1982,1,1,0,0,1,,,0.5,Condo,Above $ 1m,cluster2,Four
Standish St,Pittsburgh,PA,15206,"$1,870,000.00 ","1,508",2,1,1996,1,1,0,0,0,21,"$1,240.05 ",3.7,Auction,Above $ 1m,cluster5,Five
318 Grant St,Sewickley,PA,15143,"$1,850,000.00 ","6,362",6,6,1977,0,0,1,0,0,40,$290.79 ,4,House,Above $ 1m,cluster3,Two
163 North Dr,Pittsburgh,PA,15238,"$1,820,000.00 ",,4,8,1939,1,1,1,0,0,78,,2.6,House,Above $ 1m,cluster2,Four
